Date/time	 9  Mode Anode PS V	10  Mode Anode PS I	11  Oil Temperature	12  Water In Temperature	13  Collector Temperature	15  Body Temperature	21  Magnet Current	25  Vac Ion	31  Filament V	32  Filament I	41  Klystron Average P	42  Reflected Power	52  High Voltage Kv	53  High Voltage Amp	55  Beam Amps	57  HV Phase A I	58  HV Phase B I	59  HV Phase C I	
10:53:29-20.09.00	30,30	4,43	30,02	18,41	18,95	18,32	21,78	0,04	17,15	0,04	5,49	9,60	49,68	0,47	8,90	25,52	24,22	23,32	
11:03:29-20.09.00	30,30	3,81	29,82	18,72	19,27	18,72	21,80	0,04	17,09	0,04	0,05	19,45	49,82	0,47	8,90	25,68	24,24	23,53	
11:13:29-20.09.00	33,51	4,19	30,05	17,82	18,26	17,98	21,77	0,04	17,11	0,08	0,06	54,73	49,56	0,47	8,90	25,63	24,35	23,48	
11:23:30-20.09.00	30,94	4,05	30,27	18,33	18,85	18,23	21,74	0,03	17,09	0,04	0,05	9,60	49,64	0,48	8,90	25,86	24,06	22,93	
11:33:30-20.09.00	30,67	3,98	30,03	18,96	19,57	18,85	21,75	0,03	17,08	0,08	0,05	6,74	49,67	0,48	8,90	25,47	24,17	23,16	
11:43:30-20.09.00	30,03	3,80	30,10	18,05	18,55	17,96	21,80	0,04	17,11	0,07	0,05	9,08	49,80	0,48	8,90	25,75	24,12	23,46	
11:53:30-20.09.00	30,40	0,34	30,02	18,53	18,44	18,41	21,74	0,03	17,14	0,02	0,05	10,12	20,18	0,03	8,90	17,21	16,14	14,88	
12:03:30-20.09.00	23,71	0,53	30,13	18,53	18,49	18,40	21,77	0,03	17,17	0,05	0,05	7,26	0,27	0,03	8,90	0,09	0,09	0,09	
12:13:30-20.09.00	13,46	0,61	30,05	18,54	18,49	18,42	21,71	0,05	17,12	0,04	0,05	12,45	0,22	0,03	8,90	0,14	0,16	0,18	
12:23:30-20.09.00	29,94	0,07	29,88	18,71	18,63	18,51	21,73	0,03	17,05	0,06	0,05	10,64	20,04	0,02	8,90	17,10	16,20	15,27	
12:33:30-20.09.00	28,20	0,12	30,12	18,66	18,64	18,62	21,75	0,04	17,06	0,07	0,06	20,49	20,21	0,03	8,90	17,19	16,07	14,79	
12:43:30-20.09.00	9,43	0,12	29,96	17,61	17,40	17,50	21,82	0,03	17,10	0,05	0,05	7,78	20,12	0,03	8,90	17,26	16,27	14,97	
12:53:30-20.09.00	30,40	0,12	30,12	17,83	17,76	17,77	21,78	0,03	17,14	0,04	0,05	8,82	20,22	0,02	8,90	16,85	16,07	14,97	
13:03:30-20.09.00	31,40	0,54	30,03	18,06	17,92	17,93	21,77	0,03	17,11	0,03	0,04	8,04	20,21	0,03	8,90	17,30	16,14	14,95	
13:13:30-20.09.00	8,51	0,20	29,93	17,97	17,82	17,91	21,77	0,03	17,09	0,05	0,05	9,60	20,17	0,03	8,90	17,19	16,37	15,11	
13:23:30-20.09.00	411,25	0,68	29,86	17,96	17,78	17,82	21,81	0,04	17,17	0,04	0,06	12,71	0,19	0,03	0,00	0,09	0,09	0,18	
